ID	Thermus_amyloliquefaciens_YIM_77409T.COG.category	Thermus_antranikianii_DSM_12462T.COG.category	Thermus_aquaticus_Y51MC23T.COG.category	Thermus_arciformis_CGMCC_1.6992T.COG.category	Thermus_brockianus_GE-1T.COG.category	Thermus_caldifontis_YIM_73026T.COG.category	Thermus_caldilimi_YIM_78456T.COG.category	Thermus_caliditerrae_YIM_77777T.COG.category	Thermus_composti_JCM_19902T.COG.category	Thermus_filiformis_ATCC_43280T.COG.category	Thermus_igniterrae_ATCC_700962T.COG.category	Thermus_islandicus_DSM_21543T.COG.category	Thermus_oshimai_DSM_12092T.COG.category	Thermus_parvatiensis_RLT.COG.category	Thermus_scotoductus_SA-01T.COG.category	Thermus_sediminis_L198T.COG.category	Thermus_tengchongensis_YIM_77401T.COG.category	Thermus_tenuipuniceus_YIM_76954T.COG.category	Thermus_thermamylovorans_CFH_72773T.COG.category	Thermus_thermophilus_HB27.COG.category	Thermus_thermophilus_HB8T.COG.category	Thermus_thermophilus_JL-18.COG.category	Thermus_thermophilus_SG0.5JP17-16.COG.category
B	2	2	2	2	2	2	2	2	2	2	2	2	2	3	2	2	2	2	2	2	2	2	2
C	137	155	130	152	157	141	166	144	143	136	145	137	154	155	156	147	159	144	161	133	136	144	147
D	22	19	23	23	22	20	18	22	20	22	20	22	24	26	18	20	21	20	21	20	22	22	23
E	203	219	212	230	236	213	249	215	219	223	240	247	239	240	236	214	222	216	230	208	203	225	228
F	63	62	58	65	65	62	67	65	53	66	65	62	66	64	64	61	68	64	64	58	57	55	57
G	102	115	96	116	137	94	148	103	112	115	104	130	112	113	115	118	125	143	102	108	112	118	134
H	98	99	104	99	115	101	104	104	106	109	102	88	102	127	101	103	114	101	97	107	107	107	107
I	81	94	85	87	94	85	89	86	85	92	87	83	96	93	84	79	101	89	91	86	85	92	87
J	143	140	138	142	137	137	145	138	137	139	143	140	140	152	139	137	138	137	137	138	139	139	139
K	80	88	77	92	88	80	96	85	78	83	84	93	87	84	88	76	100	81	79	76	82	88	89
L	86	106	124	139	103	87	106	107	89	116	95	117	100	130	93	98	133	80	89	101	102	113	121
M	65	66	75	63	76	63	79	70	75	75	65	85	62	81	71	77	67	63	76	71	67	67	78
N	8	6	7	8	9	8	6	7	6	6	8	6	10	13	7	6	8	6	6	9	6	8	7
O	75	73	77	83	74	78	82	83	73	78	88	82	84	84	79	76	83	82	77	73	74	73	81
P	86	97	86	98	103	94	118	91	97	91	101	102	101	100	107	104	110	112	94	91	85	99	99
Q	44	58	43	52	53	50	54	45	47	45	59	44	59	44	54	40	55	51	57	48	52	60	51
R	257	258	238	268	277	246	265	251	234	248	261	259	267	266	266	232	287	265	251	249	246	268	257
S	119	131	145	134	137	130	141	137	125	125	122	134	132	131	143	132	152	141	130	134	129	136	131
T	66	66	56	74	74	65	77	70	60	59	64	66	68	60	77	52	78	70	64	58	51	57	58
U	22	21	21	21	24	21	24	23	21	22	23	21	24	29	24	20	27	23	21	25	22	24	22
V	18	25	24	26	24	20	29	21	27	29	24	28	22	29	34	25	35	25	23	20	20	22	22
Z	1	0.0	2	1	1	1	0.0	1	0.0	0.0	0.0	1	1	0.0	0.0	0.0	0.0	0.0	1	0.0	0.0	0.0	0.0
