	Thermus_thermophilus_SG0.5JP17-16	Thermus_thermophilus_HB8T	Thermus_thermophilus_JL-18	Thermus_antranikianii_DSM_12462T	Thermus_thermophilus_HB27	Thermus_sediminis_L198	Thermus_thermamylovorans_CFH_72773T	Thermus_aquaticus_Y51MC23T	Thermus_amyloliquefaciens_YIM_77409T	Thermus_caldilimi_YIM_78456T	Thermus_oshimai_DSM_12092T	Thermus_tenuipuniceus_YIM_76954T	Thermus_tengchongensis_YIM_77401T	Thermus_caldifontis_YIM_73026T	Thermus_islandicus_DSM_21543T	Thermus_igniterrae_ATCC_700962T	Thermus_filiformis_ATCC_43280T	Thermus_arciformis_CGMCC_1.6992T	Thermus_caliditerrae_YIM_77777T	Thermus_composti_JCM_19902T	Thermus_parvatiensis_RL	Thermus_brockianus_GE-1T	Thermus_scotoductus_SA-01T
Thermus_thermophilus_SG0.5JP17-16	1.0	0.9651956994818651	0.9665063477366255	0.8112068854655057	0.9634819124168514	0.8250680085348507	0.8247634113712375	0.8313278950953678	0.8212772539573296	0.8094072055888224	0.8218147971204189	0.8093944405837387	0.8208093230174082	0.8065222841604351	0.838041379071379	0.8317210213618158	0.799109407351838	0.8853151481481482	0.8193847255038221	0.8702642577886378	0.9569497248243559	0.8265959767891684	0.813002196416722
Thermus_thermophilus_HB8T	0.9659225100516945	1.0	0.9681483314543406	0.81023664305949	0.988358002201431	0.8288139410939692	0.8243909992862242	0.8348288083953961	0.8197276170510133	0.8113216195190949	0.8227020533333332	0.8076214985994398	0.8179553931034483	0.8074975178826896	0.8429846819156541	0.8323066103983794	0.8014577735849057	0.8902105739795917	0.8209866460055096	0.8626710836120401	0.9520970354523229	0.8270510306588389	0.810788717948718
Thermus_thermophilus_JL-18	0.9660611758691207	0.9674053694303442	1.0	0.8096093641231593	0.9680700721821209	0.8275752576601672	0.8240643183344527	0.8343402251655628	0.8198585469499657	0.8086272237196765	0.8198475663430422	0.8073416459197787	0.8207640206851972	0.8056795485636115	0.8380648115147362	0.8298806883365201	0.7987890163934427	0.8852753247549021	0.8191024914207276	0.8660351786833855	0.9549468548387097	0.8253131645569621	0.8098421499013807
Thermus_antranikianii_DSM_12462T	0.811513233532934	0.8101925491573034	0.8109098816568048	1.0	0.810323120274914	0.810505006849315	0.8292349683944374	0.8158602581072139	0.8692289039408867	0.9166100172413794	0.805037547047372	0.914581203319502	0.8842973238602724	0.8708188706739527	0.8110142201215397	0.8380647779751332	0.7801620493066256	0.8213890971786835	0.8405013366033111	0.8137636246612466	0.8162080070422535	0.8233666133988937	0.9469873048848961
Thermus_thermophilus_HB27	0.9642347637576434	0.987640666302567	0.968636028840821	0.8105374229691876	1.0	0.8282922675250359	0.8232791322901849	0.8352889931034484	0.8206353384508025	0.8093140700068634	0.8224888520238886	0.8086564819944598	0.8176028797250859	0.8071769626497534	0.8419126546212649	0.8314147106325706	0.7999569672131148	0.8888497348484847	0.8200005890410959	0.8615708655126498	0.9513259082568809	0.826092633986928	0.8112821428571428
Thermus_sediminis_L198	0.8251257891061452	0.8296044979079499	0.8279945770804912	0.8106986341798215	0.8283687062937064	1.0	0.8269690013404825	0.871665658963148	0.8218620013522651	0.8116837262872629	0.8233634370771313	0.8105358803763442	0.8181644005270092	0.810342983310153	0.8390690271021543	0.8316024935400518	0.7883009527272726	0.8414144760672704	0.8210873	0.8249541262135924	0.8266130051057623	0.8231611609498681	0.8120721045485405
Thermus_thermamylovorans_CFH_72773T	0.8242840396039605	0.8238776396648045	0.8244220338983052	0.8288728447204968	0.8231734392265193	0.82651756	1.0	0.8268764409030546	0.8458556005221932	0.840457209876543	0.8169190597716589	0.8321543602800763	0.853951551932367	0.8236462595419848	0.8230430917874396	0.8428499938461539	0.7902618933132983	0.8385451879699247	0.8585104339622643	0.8286521862615588	0.8230552023546724	0.8246933628318585	0.8287769806612602
Thermus_aquaticus_Y51MC23T	0.8323470437710438	0.8353382079343366	0.8361602022178733	0.8164105070993916	0.8363455067567569	0.8721945685279188	0.8273021185876082	1.0	0.8280311632653061	0.8166424798927614	0.8264393673469388	0.8160554376657825	0.8236259219634992	0.8158541365187714	0.8463348468345814	0.8394986073500966	0.799759278425656	0.8458826163522014	0.8251366687938736	0.8325649692832764	0.8345750212765958	0.8293905091137651	0.8202749488752556
Thermus_amyloliquefaciens_YIM_77409T	0.8209558453114306	0.8191618327526132	0.8190494743935309	0.8688772113022114	0.8205216851595006	0.8212601891891892	0.8465501063122923	0.8272632754010695	1.0	0.8703593130699088	0.8158388066368858	0.8738616379821957	0.8781112258064515	0.8695590892531876	0.8193082684283728	0.841804894003634	0.7870581535119479	0.8334582177033494	0.8576650388059703	0.823728717948718	0.8243277124645892	0.8301540782122906	0.8697713873873874
Thermus_caldilimi_YIM_78456T	0.80952540397351	0.8105998878766643	0.8087266622604098	0.9167521168305379	0.8094871824324326	0.8102929500342231	0.8410225156054932	0.815736222371065	0.8700432179720704	1.0	0.804746502159161	0.9075180700778644	0.8873958174904943	0.8616653595890412	0.8066376273372018	0.8316632918149465	0.7797601973684211	0.8220808085612366	0.8524207773851591	0.8108119430051813	0.8119395480225989	0.8192332582216808	0.9215547487844409
Thermus_oshimai_DSM_12092T	0.8226162346079066	0.8229870525615437	0.8202895394321766	0.804046164556962	0.8231847382198954	0.8208648125836681	0.8179024625850342	0.8258821352074966	0.8159880113996201	0.805616561728395	1.0	0.8040589233692211	0.8112593542435426	0.8039821308290155	0.8182426348547719	0.8224912004730928	0.7975429825783973	0.830044993954051	0.8149017077798861	0.8220022154471545	0.8211772096219931	0.8173559134615386	0.8060842056650246
Thermus_tenuipuniceus_YIM_76954T	0.8094065387251541	0.8088725573314802	0.8077719476158496	0.9154729581614615	0.8088547599729548	0.8095579401993355	0.8325114578005116	0.8156416612377849	0.8739909610849058	0.9074398134942402	0.8040653555413196	1.0	0.8835159786876051	0.8690091334488738	0.8072994106090373	0.8297123781212841	0.7785170176730485	0.8184703764420158	0.8474366298663567	0.8137123155737706	0.8127673733719247	0.8213001469723692	0.9192498544232923
Thermus_tengchongensis_YIM_77401T	0.81982487131199	0.8175904291553132	0.8196017819314642	0.8841899881936245	0.8172669266980498	0.8179047066492829	0.852946255319149	0.8214208451573103	0.8789041807580174	0.887551736111111	0.8122592578849721	0.8838066799091943	1.0	0.8560524002382368	0.8140379185232337	0.8401553948896632	0.7849183461807989	0.8318445996592844	0.9042272552348614	0.8225945746073299	0.8199211893369789	0.826713180212014	0.8847966817667043
