molecule	abbre	gene	oldgene		start	end	strand	direction	description
Calidithermus_chliarophilus_DSM_9957T	G8	Rrf2	Calidithermus_chliarophilus_DSM_9957T_1232	KE387023.1_1222	1314809	1314399	reverse	-1	Rrf2 family transcriptional regulator
Calidithermus_chliarophilus_DSM_9957T	G8	nirK	Calidithermus_chliarophilus_DSM_9957T_1233	KE387023.1_1223	1314936	1316078	forward	1	nirK
Calidithermus_chliarophilus_DSM_9957T	G8	hypothetical protein	Calidithermus_chliarophilus_DSM_9957T_1234	KE387023.1_1224	1316205	1317635	forward	1	dihydrolipoyl dehydrogenase
Calidithermus_terrae_DSM_26712T	G7	hypothetical protein	Calidithermus_terrae_DSM_26712T_2525	QXDL01000033.1_23	-24035	-23211	reverse	-1	alpha/beta fold hydrolase
Calidithermus_terrae_DSM_26712T	G7	nirK	Calidithermus_terrae_DSM_26712T_2526	QXDL01000033.1_24	-25136	-24204	reverse	-1	K00368
Oceanithermus_desulfurans_DSM_15757T	G3	nrdR	Oceanithermus_desulfurans_DSM_15757T_1834	JACHEZ010000007.1_52	56532	56984	forward	1	transcriptional regulator NrdR
Oceanithermus_desulfurans_DSM_15757T	G3	norC	Oceanithermus_desulfurans_DSM_15757T_1835	JACHEZ010000007.1_53	57154	57819	forward	1	K02305
Oceanithermus_desulfurans_DSM_15757T	G3	norB	Oceanithermus_desulfurans_DSM_15757T_1836	JACHEZ010000007.1_54	57832	59265	forward	1	K04561
Oceanithermus_desulfurans_DSM_15757T	G3	hypothetical protein	Oceanithermus_desulfurans_DSM_15757T_1837	JACHEZ010000007.1_55	59258	59581	forward	1	hypothetical protein
Oceanithermus_desulfurans_DSM_15757T	G3	Cytc	Oceanithermus_desulfurans_DSM_15757T_1838	JACHEZ010000007.1_56	59591	60331	forward	1	cytochrome c
Oceanithermus_desulfurans_DSM_15757T	G3	nirS	Oceanithermus_desulfurans_DSM_15757T_1839	JACHEZ010000007.1_57	60428	62047	forward	1	K15864
Oceanithermus_desulfurans_DSM_15757T	G3	hypothetical protein	Oceanithermus_desulfurans_DSM_15757T_1840	JACHEZ010000007.1_58	62353	62123	reverse	-1	hypothetical protein
Oceanithermus_desulfurans_DSM_15757T	G3	Crp/Fnr	Oceanithermus_desulfurans_DSM_15757T_1841	JACHEZ010000007.1_59	63241	62552	reverse	-1	Crp/Fnr family transcriptional regulator
Oceanithermus_profundus_DSM_14977T	G2	Crp/Fnr	Oceanithermus_profundus_DSM_14977T_2126	CP002361.1_2126	-2171698	-2172387	forward	1	Crp/Fnr
Oceanithermus_profundus_DSM_14977T	G2	hypothetical protein	Oceanithermus_profundus_DSM_14977T_2127	CP002361.1_2127	-2172389	-2172826	forward	1	hypothetical protein
Oceanithermus_profundus_DSM_14977T	G2	nirS	Oceanithermus_profundus_DSM_14977T_2128	CP002361.1_2128	-2174524	-2172905	reverse	-1	K15864
Oceanithermus_profundus_DSM_14977T	G2	Cytc	Oceanithermus_profundus_DSM_14977T_2129	CP002361.1_2129	-2175361	-2174621	reverse	-1	Cytc
Oceanithermus_profundus_DSM_14977T	G2	hypothetical protein	Oceanithermus_profundus_DSM_14977T_2130	CP002361.1_2130	-2175694	-2175371	reverse	-1	hypothetical protein
Oceanithermus_profundus_DSM_14977T	G2	norB	Oceanithermus_profundus_DSM_14977T_2131	CP002361.1_2131	-2177120	-2175687	reverse	-1	K04561
Oceanithermus_profundus_DSM_14977T	G2	norC	Oceanithermus_profundus_DSM_14977T_2132	CP002361.1_2132	-2177798	-2177133	reverse	-1	K02305
Oceanithermus_profundus_DSM_14977T	G2	nrdR	Oceanithermus_profundus_DSM_14977T_2133	CP002361.1_2133	-2178421	-2177969	reverse	-1	transcriptional regulator NrdR
Thermus_amyloliquefaciens_YIM_77409T	G21	Cytc	Thermus_amyloliquefaciens_YIM_77409T_1407	sequence1_1407	-1363618	-1364109	forward	1	cytochrome P460 family protein
Thermus_amyloliquefaciens_YIM_77409T	G21	MarR	Thermus_amyloliquefaciens_YIM_77409T_1408	sequence1_1408	-1364218	-1364781	forward	1	MarR family winged helix-turn-helix transcriptional regulator
Thermus_amyloliquefaciens_YIM_77409T	G21	TIGR04053	Thermus_amyloliquefaciens_YIM_77409T_1409	sequence1_1409	-1365908	-1364778	reverse	-1	TIGR04053 family radical SAM/SPASM domain-containing protein
Thermus_amyloliquefaciens_YIM_77409T	G21	nirS	Thermus_amyloliquefaciens_YIM_77409T_1410	sequence1_1410	-1367826	-1366216	reverse	-1	K15864
Thermus_amyloliquefaciens_YIM_77409T	G21	hypothetical protein	Thermus_amyloliquefaciens_YIM_77409T_1411	sequence1_1411	-1368248	-1367952	reverse	-1	hypothetical protein
Thermus_amyloliquefaciens_YIM_77409T	G21	norB	Thermus_amyloliquefaciens_YIM_77409T_1412	sequence1_1412	-1369671	-1368238	reverse	-1	K04561
Thermus_amyloliquefaciens_YIM_77409T	G21	norC	Thermus_amyloliquefaciens_YIM_77409T_1413	sequence1_1413	-1370347	-1369682	reverse	-1	K02305
