molecule	abbre	gene	oldgene		start	end	strand	direction	description
Calidithermus_chliarophilus_DSM_9957T	G8	narG	Calidithermus_chliarophilus_DSM_9957T_1256	KE387023.1_1256	1353246	1352554	reverse	-1	narG
Calidithermus_chliarophilus_DSM_9957T	G8	narH	Calidithermus_chliarophilus_DSM_9957T_1257	KE387023.1_1257	1353440	1354075	forward	1	narH
Calidithermus_chliarophilus_DSM_9957T	G8	narJ	Calidithermus_chliarophilus_DSM_9957T_1258	KE387023.1_1258	1354092	1355000	forward	1	narJ
Calidithermus_chliarophilus_DSM_9957T	G8	narI	Calidithermus_chliarophilus_DSM_9957T_1259	KE387023.1_1259	1355022	1355789	forward	1	narI
Calidithermus_chliarophilus_DSM_9957T	G8	narK	Calidithermus_chliarophilus_DSM_9957T_1260	KE387023.1_1260	1355792	1356220	forward	1	narK
Calidithermus_chliarophilus_DSM_9957T	G8	MFS transporter	Calidithermus_chliarophilus_DSM_9957T_1261	KE387023.1_1261	1356360	1356223	reverse	-1	MFS transporter
Calidithermus_roseus_NBRC_110900T	G6	MFS transporter	Calidithermus_roseus_NBRC_110900T_2194	QWLA01000041.1_22	-20648	-19290	reverse	-1	MFS transporter
Calidithermus_roseus_NBRC_110900T	G6	narK	Calidithermus_roseus_NBRC_110900T_2195	QWLA01000041.1_23	-21991	-20648	reverse	-1	narK
Calidithermus_roseus_NBRC_110900T	G6	narI	Calidithermus_roseus_NBRC_110900T_2196	QWLA01000041.1_24	-22748	-21978	reverse	-1	narI
Calidithermus_roseus_NBRC_110900T	G6	narJ	Calidithermus_roseus_NBRC_110900T_2197	QWLA01000041.1_25	-23329	-22745	reverse	-1	narJ
Calidithermus_roseus_NBRC_110900T	G6	narH	Calidithermus_roseus_NBRC_110900T_2198	QWLA01000041.1_26	-24850	-23339	reverse	-1	narH
Calidithermus_roseus_NBRC_110900T	G6	narG	Calidithermus_roseus_NBRC_110900T_2199	QWLA01000041.1_27	-28533	-24931	reverse	-1	narG
Calidithermus_roseus_NBRC_110900T	G6	Cytc	Calidithermus_roseus_NBRC_110900T_2200	QWLA01000041.1_28	-29336	-28530	reverse	-1	Cytc
Calidithermus_roseus_NBRC_110900T	G6	hypothetical protein	Calidithermus_roseus_NBRC_110900T_2201	QWLA01000041.1_29	-29536	-29333	reverse	-1	hypothetical protein
Calidithermus_terrae_DSM_26712T	G7	narI	Calidithermus_terrae_DSM_26712T_2503	QXDL01000033.1_1	-707	-3	reverse	-1	narI
Calidithermus_terrae_DSM_26712T	G7	narJ	Calidithermus_terrae_DSM_26712T_2504	QXDL01000033.1_2	-1267	-704	reverse	-1	narJ
Calidithermus_terrae_DSM_26712T	G7	narH	Calidithermus_terrae_DSM_26712T_2505	QXDL01000033.1_3	-2785	-1277	reverse	-1	narH
Calidithermus_terrae_DSM_26712T	G7	narG	Calidithermus_terrae_DSM_26712T_2506	QXDL01000033.1_4	-6461	-2865	reverse	-1	narG
Calidithermus_terrae_DSM_26712T	G7	Cytc	Calidithermus_terrae_DSM_26712T_2507	QXDL01000033.1_5	-7279	-6458	reverse	-1	Cytc
Calidithermus_terrae_DSM_26712T	G7	hypothetical protein	Calidithermus_terrae_DSM_26712T_2508	QXDL01000033.1_6	-7539	-7276	reverse	-1	hypothetical protein
Calidithermus_terrae_DSM_26712T	G7	hypothetical protein	Calidithermus_terrae_DSM_26712T_2509	QXDL01000033.1_7	-9804	-8224	reverse	-1	Modification methylase Eco57IB
Calidithermus_terrae_DSM_26712T	G7	hypothetical protein	Calidithermus_terrae_DSM_26712T_2510	QXDL01000033.1_8	-10703	-9801	reverse	-1	XamI
Calidithermus_terrae_DSM_26712T	G7	GAF	Calidithermus_terrae_DSM_26712T_2511	QXDL01000033.1_9	-11041	-13050	forward	1	Bacterial transcriptional activator domain protein
Calidithermus_terrae_DSM_26712T	G7	Crp/Fnr	Calidithermus_terrae_DSM_26712T_2512	QXDL01000033.1_10	-13047	-13727	forward	1	Crp/Fnr family transcriptional regulator
Calidithermus_timidus_DSM_17022T	G5	hypothetical protein	Calidithermus_timidus_DSM_17022T_2932	KB890701.1_153	163783	163986	forward	1	hypothetical protein
Calidithermus_timidus_DSM_17022T	G5	Cytc	Calidithermus_timidus_DSM_17022T_2933	KB890701.1_154	163983	164807	forward	1	Cytc
Calidithermus_timidus_DSM_17022T	G5	narG	Calidithermus_timidus_DSM_17022T_2934	KB890701.1_155	164804	168406	forward	1	narG
Calidithermus_timidus_DSM_17022T	G5	narH	Calidithermus_timidus_DSM_17022T_2935	KB890701.1_156	168459	169967	forward	1	narH
Calidithermus_timidus_DSM_17022T	G5	narJ	Calidithermus_timidus_DSM_17022T_2936	KB890701.1_157	169977	170561	forward	1	narJ
Calidithermus_timidus_DSM_17022T	G5	narI	Calidithermus_timidus_DSM_17022T_2937	KB890701.1_158	170558	171328	forward	1	narI
Calidithermus_timidus_DSM_17022T	G5	narK	Calidithermus_timidus_DSM_17022T_2938	KB890701.1_159	171315	172658	forward	1	narK
Calidithermus_timidus_DSM_17022T	G5	MFS transporter	Calidithermus_timidus_DSM_17022T_2939	KB890701.1_160	172658	174013	forward	1	MFS transporter
Marinithermus_hydrothermalis_DSM_14884T	G1	narK	Marinithermus_hydrothermalis_DSM_14884T_1850	CP002630.1_1850	-1845929	-1844619	reverse	-1	narK
Marinithermus_hydrothermalis_DSM_14884T	G1	narI	Marinithermus_hydrothermalis_DSM_14884T_1851	CP002630.1_1851	-1846628	-1845942	reverse	-1	narI
Marinithermus_hydrothermalis_DSM_14884T	G1	narJ	Marinithermus_hydrothermalis_DSM_14884T_1852	CP002630.1_1852	-1847143	-1846625	reverse	-1	narJ
Marinithermus_hydrothermalis_DSM_14884T	G1	narH	Marinithermus_hydrothermalis_DSM_14884T_1853	CP002630.1_1853	-1848654	-1847143	reverse	-1	narH
Marinithermus_hydrothermalis_DSM_14884T	G1	narG	Marinithermus_hydrothermalis_DSM_14884T_1854	CP002630.1_1854	-1852327	-1848668	reverse	-1	narG
Marinithermus_hydrothermalis_DSM_14884T	G1	Cytc	Marinithermus_hydrothermalis_DSM_14884T_1855	CP002630.1_1855	-1853121	-1852324	reverse	-1	Cytc
Marinithermus_hydrothermalis_DSM_14884T	G1	hypothetical protein	Marinithermus_hydrothermalis_DSM_14884T_1856	CP002630.1_1856	-1853306	-1853118	reverse	-1	hypothetical protein
Marinithermus_hydrothermalis_DSM_14884T	G1	GAF	Marinithermus_hydrothermalis_DSM_14884T_1857	CP002630.1_1857	-1853396	-1855366	forward	1	GAF
Meiothermus_granaticius_NBRC_107808T	G9	MFS transporter	Meiothermus_granaticius_NBRC_107808T_300	BJXM01000002.1_1	-1404	-46	reverse	-1	MFS transporter
