	Thermus_amyloliquefaciens_YIM_77409T	Thermus_antranikianii_DSM_12462T	Thermus_aquaticus_Y51MC23T	Thermus_arciformis_CGMCC_1.6992T	Thermus_brockianus_GE-1T	Thermus_caldifontis_YIM_73026T	Thermus_caldilimi_YIM_78456T	Thermus_caliditerrae_YIM_77777T	Thermus_composti_JCM_19902T	Thermus_filiformis_ATCC_43280T	Thermus_igniterrae_ATCC_700962T	Thermus_islandicus_DSM_21543T	Thermus_oshimai_DSM_12092T	Thermus_parvatiensis_RL	Thermus_scotoductus_SA-01T	Thermus_sediminis_L198	Thermus_tengchongensis_YIM_77401T	Thermus_tenuipuniceus_YIM_76954T	Thermus_thermamylovorans_CFH_72773T	Thermus_thermophilus_HB27	Thermus_thermophilus_HB8T	Thermus_thermophilus_JL-18	Thermus_thermophilus_SG0.5JP17-16
Thermus_amyloliquefaciens_YIM_77409T	100	89.4218399564508	83.081783119061	84.4143778801843	84.7374837310196	89.257060085837	89.4585523504273	88.0851171458998	83.1183469150174	75.6209050772627	85.9957569296375	82.4204680365297	81.5123773987205	83.0193232205367	89.3767272727272	82.0835915088927	89.8061258450338	89.7991923485653	85.3106351883082	82.1626851328434	82.0906877113867	82.2813568670712	82.5725489100054
Thermus_antranikianii_DSM_12462T	89.4218399564508	100	82.7795728368016	83.6828177083334	84.6955989304812	90.1233190807056	92.7902205128206	86.7182765957448	82.7208715083799	75.2758931552588	86.1894827586207	82.0333759022764	80.9130842105263	82.5624358243014	95.2396949669547	81.8906214039126	90.3363931888547	92.6598536330371	84.2718347639483	82.1100833333334	81.8932735426008	82.2709378349411	82.2245337620579
Thermus_aquaticus_Y51MC23T	83.081783119061	82.7795728368016	100	83.7881596339603	82.9522982005141	81.7939041464728	82.1872525689565	83.2554059829062	82.6003076923077	75.5905147453083	83.9960216216218	84.1636129385963	81.6529917808219	82.7602753872634	82.3583667932719	87.4590679824561	82.5012177502581	82.3043556975506	81.9033097055618	82.4887839305104	82.6589217296115	82.6185331230283	82.3556307031669
Thermus_arciformis_CGMCC_1.6992T	84.4143778801843	83.6828177083334	83.7881596339603	100	84.3009169199597	82.7069172552976	83.6033869346733	84.2275645569623	85.9571602972399	76.0790315898497	84.6937287287287	85.4606112852663	82.0565918163672	87.2812942477877	83.360055	83.7513979086408	83.9059904306219	83.2008354689903	83.5172546972858	88.3063487881981	87.9771692145492	87.7625668979186	87.9496686746987
Thermus_brockianus_GE-1T	84.7374837310196	84.6955989304812	82.9522982005141	84.3009169199597	100	83.6941952789699	83.8359720062208	84.9734586864409	85.1179604178119	75.9678309409889	85.2084693360366	82.8043111111114	81.4484505606526	83.8667772778403	83.9170637408569	82.5241928251121	84.2475951293761	84.2645792962775	83.1812989130437	83.1017513513513	83.2428818132758	83.0564690587623	83.2248719316971
Thermus_caldifontis_YIM_73026T	89.257060085837	90.1233190807056	81.7939041464728	82.7069172552976	83.6941952789699	100	88.887186868687	86.1790865892291	81.9424765063572	74.927508090615	84.9384035827188	81.4182097044062	80.739250131096	82.1638034682081	89.9998018292683	81.5256105990783	87.6743529411764	89.5668711340206	83.3674171122995	81.403533667223	81.549197080292	81.0298269533298	81.3985660377358
Thermus_caldilimi_YIM_78456T	89.4585523504273	92.7902205128206	82.1872525689565	83.6033869346733	83.8359720062208	88.887186868687	100	87.6167151011937	82.1910168569878	75.3019245283018	85.2697476828012	81.8024167107351	80.749300663604	82.0621883812748	92.3656878557873	81.6173539518901	90.1126822296333	92.3249627791563	84.6183103813559	81.6523614190688	81.8248814898422	81.4925171866739	81.6093390650186
Thermus_caliditerrae_YIM_77777T	88.0851171458998	86.7182765957448	83.2554059829062	84.2275645569623	84.9734586864409	86.1790865892291	87.6167151011937	100	83.1540564971752	75.5632975295382	85.9647492163009	82.6308236594804	81.4040242616033	82.8776918570594	86.5832094240837	82.5022480181202	91.7731626964015	87.3382483256054	86.6205251641138	82.2978059536933	82.2332777777776	82.230688325991	82.3807130919219
Thermus_composti_JCM_19902T	83.1183469150174	82.7208715083799	82.6003076923077	85.9571602972399	85.1179604178119	81.9424765063572	82.1910168569878	83.1540564971752	100	76.3062464346833	83.8386912751679	83.5052670454547	81.4535781336276	86.3832867523756	82.5039281828074	81.9702683780631	82.8155863539447	82.5960864682764	82.5635426997246	86.5767498613422	86.2857079400333	86.7582080329558	87.2385574948663
Thermus_filiformis_ATCC_43280T	75.6209050772627	75.2758931552588	75.5905147453083	76.0790315898497	75.9678309409889	74.927508090615	75.3019245283018	75.5632975295382	76.3062464346833	100	76.1723830016138	75.3242880794702	75.7689693446089	76.6772306791569	75.3251713062099	75.005581920904	75.4302638522429	74.9119775521112	74.99158739255	76.2994701986755	76.349872646733	76.2117969598263	76.2459095920617
Thermus_igniterrae_ATCC_700962T	85.9957569296375	86.1894827586207	83.9960216216218	84.6937287287287	85.2084693360366	84.9384035827188	85.2697476828012	85.9647492163009	83.8386912751679	76.1723830016138	100	83.2347726027398	81.6620020171458	84.1494645941278	85.3962455242967	83.2300112107625	85.6599078812694	85.0707320872274	84.7246376811595	82.968113623828	83.1303440621531	83.1351548556431	83.1504555314534
Thermus_islandicus_DSM_21543T	82.4204680365297	82.0333759022764	84.1636129385963	85.4606112852663	82.8043111111114	81.4182097044062	81.8024167107351	82.6308236594804	83.5052670454547	75.3242880794702	83.2347726027398	100	81.0915590200444	83.4449251944943	82.0058794788273	83.2961885482937	81.9255754072516	81.9149351351351	81.7668852459017	83.9251793721974	83.687963800905	83.7182436106581	83.5211745152356
Thermus_oshimai_DSM_12092T	81.5123773987205	80.9130842105263	81.6529917808219	82.0565918163672	81.4484505606526	80.739250131096	80.749300663604	81.4040242616033	81.4535781336276	75.7689693446089	81.6620020171458	81.0915590200444	100	81.4152511415525	80.9701383905689	81.0020169014083	81.0919130434784	80.7393952033369	80.288711790393	81.3421323127394	81.089592959296	80.7788302872063	81.2661636556855
Thermus_parvatiensis_RL	83.0193232205367	82.5624358243014	82.7602753872634	87.2812942477877	83.8667772778403	82.1638034682081	82.0621883812748	82.8776918570594	86.3832867523756	76.6772306791569	84.1494645941278	83.4449251944943	81.4152511415525	100	82.601711351968	82.0272382671482	82.4631204481793	82.3647719298248	81.9555280235987	95.2582705946532	95.2781058951964	95.8373095112979	95.8598155953636
Thermus_scotoductus_SA-01T	89.3767272727272	95.2396949669547	82.3583667932719	83.360055	83.9170637408569	89.9998018292683	92.3656878557873	86.5832094240837	82.5039281828074	75.3251713062099	85.3962455242967	82.0058794788273	80.9701383905689	82.601711351968	100	81.3738205417607	89.3830739109153	93.0926975339708	83.5651236191478	81.8526141992296	81.7080464858883	81.5457913855736	82.0159756097561
Thermus_sediminis_L198	82.0835915088927	81.8906214039126	87.4590679824561	83.7513979086408	82.5241928251121	81.5256105990783	81.6173539518901	82.5022480181202	81.9702683780631	75.005581920904	83.2300112107625	83.2961885482937	81.0020169014083	82.0272382671482	81.3738205417607	100	82.1239479512737	81.4235350140057	82.1896468609865	81.7945852534563	81.9838567335245	81.8712861189803	81.9616523235801
Thermus_tengchongensis_YIM_77401T	89.8061258450338	90.3363931888547	82.5012177502581	83.9059904306219	84.2475951293761	87.6743529411764	90.1126822296333	91.7731626964015	82.8155863539447	75.4302638522429	85.6599078812694	81.9255754072516	81.0919130434784	82.4631204481793	89.3830739109153	82.1239479512737	100	90.1181216015818	86.0607971014496	81.8725447639717	81.9786440677966	81.8872874493928	82.085571501794
Thermus_tenuipuniceus_YIM_76954T	89.7991923485653	92.6598536330371	82.3043556975506	83.2008354689903	84.2645792962775	89.5668711340206	92.3249627791563	87.3382483256054	82.5960864682764	74.9119775521112	85.0707320872274	81.9149351351351	80.7393952033369	82.3647719298248	93.0926975339708	81.4235350140057	90.1181216015818	100	84.4128298800437	81.6242646254784	81.6207964601773	81.5307365591398	81.7951398793201
Thermus_thermamylovorans_CFH_72773T	85.3106351883082	84.2718347639483	81.9033097055618	83.5172546972858	83.1812989130437	83.3674171122995	84.6183103813559	86.6205251641138	82.5635426997246	74.99158739255	84.7246376811595	81.7668852459017	80.288711790393	81.9555280235987	83.5651236191478	82.1896468609865	86.0607971014496	84.4128298800437	100	81.7095899772209	81.6736332574031	81.7303664921466	81.9841653247449
Thermus_thermophilus_HB27	82.1626851328434	82.1100833333334	82.4887839305104	88.3063487881981	83.1017513513513	81.403533667223	81.6523614190688	82.2978059536933	86.5767498613422	76.2994701986755	82.968113623828	83.9251793721974	81.3421323127394	95.2582705946532	81.8526141992296	81.7945852534563	81.8725447639717	81.6242646254784	81.7095899772209	100	98.5092092092093	97.0530020181635	96.621530715005
Thermus_thermophilus_HB8T	82.0906877113867	81.8932735426008	82.6589217296115	87.9771692145492	83.2428818132758	81.549197080292	81.8248814898422	82.2332777777776	86.2857079400333	76.349872646733	83.1303440621531	83.687963800905	81.089592959296	95.2781058951964	81.7080464858883	81.9838567335245	81.9786440677966	81.6207964601773	81.6736332574031	98.5092092092093	100	96.5903524672708	96.4231841563786
Thermus_thermophilus_JL-18	82.2813568670712	82.2709378349411	82.6185331230283	87.7625668979186	83.0564690587623	81.0298269533298	81.4925171866739	82.230688325991	86.7582080329558	76.2117969598263	83.1351548556431	83.7182436106581	80.7788302872063	95.8373095112979	81.5457913855736	81.8712861189803	81.8872874493928	81.5307365591398	81.7303664921466	97.0530020181635	96.5903524672708	100	96.9589710009355
Thermus_thermophilus_SG0.5JP17-16	82.5725489100054	82.2245337620579	82.3556307031669	87.9496686746987	83.2248719316971	81.3985660377358	81.6093390650186	82.3807130919219	87.2385574948663	76.2459095920617	83.1504555314534	83.5211745152356	81.2661636556855	95.8598155953636	82.0159756097561	81.9616523235801	82.085571501794	81.7951398793201	81.9841653247449	96.621530715005	96.4231841563786	96.9589710009355	100
